3,10,Check out their website.,8,CMG Information Services,ZDmBZPgRWncX1lwavirML4
8,1,No response.,10,Morgan Stanley,mlMdUJWW5xzFjgobzOfpEV4VndTHx
1,2,Out of the office.,3,Tesco,i7uqS1mgatF
8,10,,7,Van Tonen Constructies,uN2ZdJYzpXCNEKnl6TqIvIYUpuS8xPYmna3DTsS7A1Zx
2,8,,2,MerckSharp&Dohme,GSU67zogwFY5pdlDyVRvAQngrc
5,11,Must send an email.,3,Datanamic Solutions BV,xDWwekrq2MgIFyFOdAHMCWvbPMZyCpibmW
3,12,,5,Djingy Media,UwjOtrNaGbw6PuFC2qDY5le0Fy2Tsan
4,5,We need to investigate this.,9,Allen&Hanburys Ltd,AhWuLWSCjAKW
2,3,Single mode turned off.,8,Numicom,ThK4yiEEYB
5,4,We must investigate this.,10,Nongy Services,gEg
6,13,No longer used.,9,BLogic,HBa01hQfNo1gNu
7,6,Expert mode turned off.,1,Global Village Communication,dI0qmfkv0BFfSaIa6ox1nLdwlpv0t360h4bdMsQWJF
9,8,Missed his call.,7,Sun Microsystems,yuNvF8Yxm0XdClxBv55PhYhs0awJWzaW6uL2jhBcj3glb
